planeta 1	planeta 2	planeta 3	planeta 4	planeta 5	
x	y	x	y	x	y	x	y	x	y	
3696	-5388	336	6737	
3360	-5535	688	6672	
2992	-5635	1040	6565	
2592	-5687	1376	6415	
2176	-5685	1696	6223	
1728	-5624	2000	5986	
1344	-5525	2256	5760	
896	-5359	2512	5472	
384	-5096	2768	5111	
-128	-4738	3008	4701	
-640	-4263	3216	4240	
-1152	-3646	3376	3727	
-1584	-2845	3504	3159	
-1888	-1807	3568	2534	
-1824	-504	3552	1851	
-1104	674	3440	1178	
352	1293	3184	312	
1488	1198	2816	-443	
2464	821	2160	-1266	
3200	331	1200	-1959	
3776	-198	-64	-2273	
4208	-736	-1376	-2003	
4512	-1267	-2384	-1301	
4640	-1503	-2720	-919	
4816	-2007	-3248	-46	
4928	-2488	-3552	804	
4992	-2942	-3696	1599	
4976	-3405	-3712	2392	
4928	-3694	-3680	2877	
4832	-4063	-3568	3490	
4672	-4400	-3392	4041	
4512	-4677	-3200	4491	
4416	-4804	-3104	4699	
4144	-5077	-2832	5153	
3888	-5270	-2576	5485	
3536	-5457	-2240	5829	
3200	-5582	-1936	6094	
2816	-5660	-1600	6314	
2448	-5686	-1296	6474	
2016	-5662	-944	6609	
1504	-5566	-576	6707	
1072	-5422	-256	6750	
560	-5190	80	6757	
48	-4865	432	6723	
-464	-4433	784	6646	
-976	-3866	1120	6526	
-1456	-3131	1456	6365	
-1808	-2178	1776	6159	
-1904	-956	2096	5910	
-1360	402	2384	5616	
-80	1217	2656	5276	
1104	1275	2880	4924	
2256	930	3120	4449	
2976	505	3296	4006	
3648	-63	3456	3415	
4112	-600	3536	2815	
4432	-1084	3568	2219	
4688	-1603	3504	1507	
4864	-2102	3328	738	
4944	-2535	3056	-3	
4992	-2986	2544	-839	
4976	-3408	1744	-1623	
4912	-3799	624	-2174	
4800	-4159	-704	-2217	
4640	-4486	-1904	-1704	
4432	-4778	-2736	-902	
4192	-5033	-3264	-29	
3936	-5232	-3536	744	
3632	-5411	-3696	1543	
